,City,State,Lat,Lng,Airport Name,Airport Address,Airport Rating
0,New York City,New York,40.7127753,-74.0059728,,,
1,Los Angeles,California,34.0522342,-118.2436849,,,
2,Chicago,Illinois,41.8781136,-87.6297982,,,
3,Houston,Texas,29.7604267,-95.3698028,,,
4,Philadelphia,Pennsylvania,39.9525839,-75.1652215,,,
5,Phoenix,Arizona,33.4483771,-112.0740373,,,
6,San Antonio,Texas,29.4241219,-98.49362819999999,,,
7,San Diego,California,32.715738,-117.1610838,,,
8,Dallas,Texas,32.7766642,-96.79698789999999,,,
9,San Jose,California,37.3382082,-121.8863286,,,
10,Austin,Texas,30.267153,-97.7430608,,,
11,Jacksonville,Florida,30.3321838,-81.65565099999999,,,
12,San Francisco,California,37.7749295,-122.4194155,,,
13,Indianapolis,Indiana,39.768403,-86.158068,,,
14,Columbus,Ohio,39.9611755,-82.99879419999999,,,
15,Fort Worth,Texas,32.7554883,-97.3307658,,,
16,Charlotte,North Carolina,35.2270869,-80.8431267,,,
17,Seattle,Washington,47.6062095,-122.3320708,,,
18,Denver,Colorado,39.7392358,-104.990251,,,
19,El Paso,Texas,31.7618778,-106.4850217,,,
20,Detroit,Michigan,42.331427,-83.0457538,,,
21,Washington,District of Columbia,38.9071923,-77.0368707,,,
22,Boston,Massachusetts,42.3600825,-71.0588801,,,
23,Memphis,Tennessee,35.1495343,-90.0489801,,,
24,Nashville,Tennessee,36.1626638,-86.7816016,,,
25,Portland,Oregon,45.5154586,-122.6793461,,,
26,Oklahoma City,Oklahoma,35.4675602,-97.5164276,,,
27,Las Vegas,Nevada,36.1699412,-115.1398296,,,
28,Baltimore,Maryland,39.2903848,-76.6121893,,,
29,Louisville,Kentucky,38.2526647,-85.7584557,,,
30,Milwaukee,Wisconsin,43.0389025,-87.9064736,,,
31,Albuquerque,New Mexico,35.0843859,-106.650422,,,
32,Tucson,Arizona,32.2226066,-110.9747108,,,
33,Fresno,California,36.7377981,-119.7871247,,,
34,Sacramento,California,38.5815719,-121.4943996,,,
35,Kansas City,Missouri,39.0997265,-94.5785667,,,
36,Long Beach,California,33.7700504,-118.1937395,,,
37,Mesa,Arizona,33.4151843,-111.8314724,,,
38,Atlanta,Georgia,33.7489954,-84.3879824,,,
39,Colorado Springs,Colorado,38.8338816,-104.8213634,,,
40,Virginia Beach,Virginia,36.8529263,-75.97798499999999,,,
41,Raleigh,North Carolina,35.7795897,-78.6381787,,,
42,Omaha,Nebraska,41.2565369,-95.9345034,,,
43,Miami,Florida,25.7616798,-80.1917902,,,
44,Oakland,California,37.8043514,-122.2711639,,,
45,Minneapolis,Minnesota,44.977753,-93.2650108,,,
46,Tulsa,Oklahoma,36.1539816,-95.99277500000001,,,
47,Wichita,Kansas,37.68717609999999,-97.33005299999999,,,
48,New Orleans,Louisiana,29.95106579999999,-90.0715323,,,
49,Arlington,Texas,32.735687,-97.10806559999999,,,
50,Cleveland,Ohio,41.49932,-81.6943605,,,
51,Bakersfield,California,35.3732921,-119.0187125,,,
52,Tampa,Florida,27.950575,-82.4571776,,,
53,Aurora,Colorado,39.7294319,-104.8319195,,,
54,Honolulu,Hawai'i,21.3069444,-157.8583333,,,
55,Anaheim,California,33.8365932,-117.9143012,,,
56,Santa Ana,California,33.7454725,-117.867653,,,
57,Corpus Christi,Texas,27.8005828,-97.39638099999999,,,
58,Riverside,California,33.9806005,-117.3754942,,,
59,St. Louis,Missouri,38.6270025,-90.19940419999999,,,
60,Lexington,Kentucky,38.0405837,-84.5037164,,,
61,Stockton,California,37.9577016,-121.2907796,,,
62,Pittsburgh,Pennsylvania,40.44062479999999,-79.9958864,,,
63,Saint Paul,Minnesota,44.9537029,-93.0899578,,,
64,Anchorage,Alaska,61.2180556,-149.9002778,,,
65,Cincinnati,Ohio,39.1031182,-84.5120196,,,
66,Henderson,Nevada,36.0395247,-114.9817213,,,
67,Greensboro,North Carolina,36.0726354,-79.7919754,,,
68,Plano,Texas,33.0198431,-96.6988856,,,
69,Newark,New Jersey,40.735657,-74.1723667,,,
70,Toledo,Ohio,41.6528052,-83.5378674,,,
71,Lincoln,Nebraska,40.813616,-96.7025955,,,
72,Orlando,Florida,28.5383355,-81.3792365,,,
73,Chula Vista,California,32.6400541,-117.0841955,,,
74,Jersey City,New Jersey,40.7177545,-74.0431435,,,
75,Chandler,Arizona,33.3061605,-111.8412502,,,
76,Fort Wayne,Indiana,41.079273,-85.1393513,,,
77,Buffalo,New York,42.88644679999999,-78.8783689,,,
78,Durham,North Carolina,35.9940329,-78.898619,,,
79,St. Petersburg,Florida,27.7676008,-82.64029149999999,,,
80,Irvine,California,33.6845673,-117.8265049,,,
81,Laredo,Texas,27.5035613,-99.5075519,,,
82,Lubbock,Texas,33.5778631,-101.8551665,,,
83,Madison,Wisconsin,43.0730517,-89.4012302,,,
84,Gilbert,Arizona,33.3528264,-111.789027,,,
85,Norfolk,Virginia,36.8507689,-76.28587259999999,,,
86,Reno,Nevada,39.5296329,-119.8138027,,,
87,Winston-Salem,North Carolina,36.09985959999999,-80.244216,,,
88,Glendale,Arizona,33.5386523,-112.1859866,,,
89,Hialeah,Florida,25.8575963,-80.2781057,,,
90,Garland,Texas,32.912624,-96.63888329999999,,,
91,Scottsdale,Arizona,33.4941704,-111.9260519,,,
92,Irving,Texas,32.8140177,-96.9488945,,,
93,Chesapeake,Virginia,36.7682088,-76.2874927,,,
94,North Las Vegas,Nevada,36.1988592,-115.1175013,,,
95,Fremont,California,37.5485396,-121.988583,,,
96,Baton Rouge,Louisiana,30.4514677,-91.18714659999999,,,
97,Richmond,Virginia,37.5407246,-77.4360481,,,
98,Boise,Idaho,43.6150186,-116.2023137,,,
99,San Bernardino,California,34.1083449,-117.2897652,,,
